id,occupation,gender,age,education,marital_status,provider,customer_years,customer_type,preferred_channel,satisfaction_overall,used_ai,satisfaction_ai,effective_ai,review_date
1058192-1058174-111830520,Employed,Male,35-44 years,Bachelor Degree,Married or domestic partnership,Vodacom,More than 5 years,Contract,Phone,Very Satisfied,True,Neutral,Agree,2023-01-01
1058192-1058174-111884750,Employed,Female,35-44 years,Masters Degree/MBA or similar,Married or domestic partnership,Vodacom,More than 5 years,Hybrid,Phone,Satisfied,True,Neutral,Neutral,2022-06-16
1058192-1058174-111894339,Employed,Male,45-54 years,Bachelor Degree,Divorced,Other,2-5 years,Contract,In-person,Very Satisfied,True,Very Dissatisfied,Disagree,2023-05-15
1058192-1058174-111894425,Employed,Female,25-34 years,Highschool graduate or similar,"Single, never married",Telkom,2-5 years,Contract,Email,Satisfied,True,Neutral,Disagree,2023-02-24
1058192-1058174-111896371,Employed,Female,35-44 years,Highschool graduate or similar,"Single, never married",Vodacom,More than 5 years,Contract,Phone,Very Satisfied,True,,Strongly agree,2021-09-22
1058192-1058174-111897624,Employed,Female,25-34 years,Masters Degree/MBA or similar,"Single, never married",Vodacom,More than 5 years,Contract,In-person,Satisfied,True,Neutral,Disagree,2023-05-31
1058192-1058174-111899726,Employed,Male,25-34 years,Masters Degree/MBA or similar,"Single, never married",Telkom,2-5 years,Contract,Email,Satisfied,True,Dissatisfied,Disagree,2023-05-05
1058192-1058174-111894352,Employed,Male,25-34 years,Bachelor Degree,"Single, never married",Telkom,More than 5 years,Hybrid,Email,Very Satisfied,True,,Agree,2023-06-01
1058192-1058174-111912964,Employed,Male,25-34 years,Bachelor Degree,"Single, never married",Vodacom,2-5 years,Contract,In-person,Satisfied,True,,Disagree,2023-05-12
1058192-1058174-111918759,Employed,Female,45-54 years,Bachelor Degree,Married or domestic partnership,Vodacom,More than 5 years,Contract,Chatbot,Satisfied,True,Satisfied,Agree,2023-01-10
