aspect,count
service,33
Vodacom,18
customer service,17
vodacom,12
customer care,5
Tobi,5
VODACOM,4
agent,4
bot,4
robot,3
service provider,3
airtime,3
chatbot,3
MTN,3
service levels,2
NULL,2
consultant,2
app,2
customer care line,2
company,2
Bot,2
call centre,2
vodacom customer care,2
call center,2
customer care help lines,1
credit report,1
mobile contract,1
money back,1
network provider,1
contract with Telkom,1
humans,1
contract,1
network service provider,1
number,1
content service,1
number assigned by Vodacom,1
machine,1
customer Service,1
energy,1
customer care number,1
eSim,1
delivery,1
data sim,1
data,1
customer's info,1
customer support,1
customer service department,1
online deals,1
customer care/services,1
customer care agent,1
customer care call centre,1
online chat,1
'SERVICE' PROVIDER,1
online service,1
vodacom call centre,1
the option to chat to your,1
virtual assistant,1
voda**** customer service,1
vodabucks,1
vodacom 4u Berea east london branch,1
vodacom app,1
vodacom bot,1
vodacom customer services,1
telkom,1
vodacom fibre,1
vodacom online,1
vodacom service bot,1
vodacom support,1
vodacum,1
vodamail email settings,1
vodqcom customer services,1
telkom customer services,1
support,1
phone imei,1
service at Vodacom,1
products,1
recurring data bundle,1
refund,1
robot assistant,1
robot calling,1
robot responses,1
service Vodacom,1
service delivery,1
subscriptions,1
services,1
sim card,1
site,1
skynet,1
smartphone,1
sms,1
staff,1
response to emails,1
call charges,1
chatbot Tobi,1
Telkom Mobile,1
Service,1
Statements,1
TOBI,1
TOBI app,1
TOBI virtual assistant,1
TOBi robot,1
Telkom,1
Telkom Self-service,1
Toby robot service,1
Telkom mobile,1
Telkom sales,1
Tobi BOT idea on WhatsApp,1
Tobi bot,1
Tobi chat bot,1
Tobi the Bot,1
Tobi's Tax Pack,1
SIM SWAP,1
PM CONNECT,1
PATHETIC SERVICE,1
ONLINE SERVICE,1
082 135 number,1
250.0 MB bundle,1
Apple Watch cellular,1
BOT,1
CUSTOMER SERVICE,1
Call Centre,1
Chatbot (Toby),1
Client Care/Service,1
Customer service,1
EFT,1
HP Attorneys,1
ISP,1
Invoices,1
MARKETING SPAM,1
Mobile Wi_Fi app,1
Toby,1
USELESS VODACOM,1
chat bot,1
app services,1
Vodacoms,1
Vodafone world,1
Vodamail,1
Vodamail cancellation,1
WhatsApp bundles,1
Wi-Fi,1
acct,1
at Telkom,1
VODACOM - TOBI ALLOWING SIM-SWOP TO CRIMINALS,1
automated chatbot,1
bank,1
bot on Vodacom Facebook messenger,1
call center service,1
****** chat bot,1
caller tune,1
cell c,1
Vodacom's website,1
Vodacom vodabucks,1
Vodacom service,1
Vodacom online deals,1
VODACOM USELESS HELPLINE,1
VODACOMS TOBI,1
VodaBucks,1
Vodacom Age of Machine,1
Vodacom App,1
Vodacom Customer Care Line,1
Vodacom Horrible Customer Care Service-Deleted Active SImcard,1
Vodacom Roaming Bundle,1
Vodacom Scams Pensioners into Special Deals,1
Vodacom Vodabucks,1
Vodacom and TymeBank Fraud,1
Vodacom customer services,1
Vodacom does not care,1
Vodacom is not a brand to be trusted or relied on,1
Vodacom number,1
webmail7,1
