,category,aspect,count
73,,agent,1
0,,'SERVICE' PROVIDER,0
1,,****** chat bot,0
2,,082 135 number,0
3,,250.0 MB bundle,0
4,,Apple Watch cellular,0
5,,BOT,0
6,,Bot,0
7,,CUSTOMER SERVICE,0
8,,Call Centre,0
9,,Chatbot (Toby),0
10,,Client Care/Service,0
11,,Customer service,0
12,,EFT,0
13,,HP Attorneys,0
14,,ISP,0
15,,Invoices,0
16,,MARKETING SPAM,0
17,,MTN,0
18,,Mobile Wi_Fi app,0
19,,NULL,0
20,,ONLINE SERVICE,0
21,,PATHETIC SERVICE,0
22,,PM CONNECT,0
23,,SIM SWAP,0
24,,Service,0
25,,Statements,0
26,,TOBI,0
27,,TOBI app,0
28,,TOBI virtual assistant,0
29,,TOBi robot,0
30,,Telkom,0
31,,Telkom Mobile,0
32,,Telkom Self-service,0
33,,Telkom mobile,0
34,,Telkom sales,0
35,,Tobi,0
36,,Tobi BOT idea on WhatsApp,0
37,,Tobi bot,0
38,,Tobi chat bot,0
39,,Tobi the Bot,0
40,,Tobi's Tax Pack,0
41,,Toby,0
42,,Toby robot service,0
43,,USELESS VODACOM,0
44,,VODACOM,0
45,,VODACOM - TOBI ALLOWING SIM-SWOP TO CRIMINALS,0
46,,VODACOM USELESS HELPLINE,0
47,,VODACOMS TOBI,0
48,,VodaBucks,0
49,,Vodacom,0
50,,Vodacom Age of Machine,0
51,,Vodacom App,0
52,,Vodacom Customer Care Line,0
53,,Vodacom Horrible Customer Care Service-Deleted Active SImcard,0
54,,Vodacom Roaming Bundle,0
55,,Vodacom Scams Pensioners into Special Deals,0
56,,Vodacom Vodabucks,0
57,,Vodacom and TymeBank Fraud,0
58,,Vodacom customer services,0
59,,Vodacom does not care,0
60,,Vodacom is not a brand to be trusted or relied on,0
61,,Vodacom number,0
62,,Vodacom online deals,0
63,,Vodacom service,0
64,,Vodacom vodabucks,0
65,,Vodacom's website,0
66,,Vodacoms,0
67,,Vodafone world,0
68,,Vodamail,0
69,,Vodamail cancellation,0
70,,WhatsApp bundles,0
71,,Wi-Fi,0
72,,acct,0
74,,airtime,0
75,,app,0
76,,app services,0
77,,at Telkom,0
78,,automated chatbot,0
79,,bank,0
80,,bot,0
81,,bot on Vodacom Facebook messenger,0
82,,call center,0
83,,call center service,0
84,,call centre,0
85,,call charges,0
86,,caller tune,0
87,,cell c,0
88,,chat bot,0
89,,chatbot,0
90,,chatbot Tobi,0
91,,company,0
92,,consultant,0
93,,content service,0
94,,contract,0
95,,contract with Telkom,0
96,,credit report,0
97,,customer Service,0
98,,customer care,0
99,,customer care agent,0
100,,customer care call centre,0
101,,customer care help lines,0
102,,customer care line,0
103,,customer care number,0
104,,customer care/services,0
105,,customer service,0
106,,customer service department,0
107,,customer support,0
108,,customer's info,0
109,,data,0
110,,data sim,0
111,,delivery,0
112,,eSim,0
113,,energy,0
114,,humans,0
115,,machine,0
116,,mobile contract,0
117,,money back,0
118,,network provider,0
119,,network service provider,0
120,,number,0
121,,number assigned by Vodacom,0
122,,online chat,0
123,,online deals,0
124,,online service,0
125,,phone imei,0
126,,products,0
127,,recurring data bundle,0
128,,refund,0
129,,response to emails,0
130,,robot,0
131,,robot assistant,0
132,,robot calling,0
133,,robot responses,0
134,,service,0
135,,service Vodacom,0
136,,service at Vodacom,0
137,,service delivery,0
138,,service levels,0
139,,service provider,0
140,,services,0
141,,sim card,0
142,,site,0
143,,skynet,0
144,,smartphone,0
145,,sms,0
146,,staff,0
147,,subscriptions,0
148,,support,0
149,,telkom,0
150,,telkom customer services,0
151,,the option to chat to your,0
152,,virtual assistant,0
153,,voda**** customer service,0
154,,vodabucks,0
155,,vodacom,0
156,,vodacom 4u Berea east london branch,0
157,,vodacom app,0
158,,vodacom bot,0
159,,vodacom call centre,0
160,,vodacom customer care,0
161,,vodacom customer services,0
162,,vodacom fibre,0
163,,vodacom online,0
164,,vodacom service bot,0
165,,vodacom support,0
166,,vodacum,0
167,,vodamail email settings,0
168,,vodqcom customer services,0
169,,webmail7,0
266,CARD#GENERAL,credit report,1
170,CARD#GENERAL,'SERVICE' PROVIDER,0
171,CARD#GENERAL,****** chat bot,0
172,CARD#GENERAL,082 135 number,0
173,CARD#GENERAL,250.0 MB bundle,0
174,CARD#GENERAL,Apple Watch cellular,0
175,CARD#GENERAL,BOT,0
176,CARD#GENERAL,Bot,0
177,CARD#GENERAL,CUSTOMER SERVICE,0
178,CARD#GENERAL,Call Centre,0
179,CARD#GENERAL,Chatbot (Toby),0
180,CARD#GENERAL,Client Care/Service,0
181,CARD#GENERAL,Customer service,0
182,CARD#GENERAL,EFT,0
183,CARD#GENERAL,HP Attorneys,0
184,CARD#GENERAL,ISP,0
185,CARD#GENERAL,Invoices,0
186,CARD#GENERAL,MARKETING SPAM,0
187,CARD#GENERAL,MTN,0
188,CARD#GENERAL,Mobile Wi_Fi app,0
189,CARD#GENERAL,NULL,0
190,CARD#GENERAL,ONLINE SERVICE,0
191,CARD#GENERAL,PATHETIC SERVICE,0
192,CARD#GENERAL,PM CONNECT,0
193,CARD#GENERAL,SIM SWAP,0
194,CARD#GENERAL,Service,0
195,CARD#GENERAL,Statements,0
196,CARD#GENERAL,TOBI,0
197,CARD#GENERAL,TOBI app,0
198,CARD#GENERAL,TOBI virtual assistant,0
199,CARD#GENERAL,TOBi robot,0
200,CARD#GENERAL,Telkom,0
201,CARD#GENERAL,Telkom Mobile,0
202,CARD#GENERAL,Telkom Self-service,0
203,CARD#GENERAL,Telkom mobile,0
204,CARD#GENERAL,Telkom sales,0
205,CARD#GENERAL,Tobi,0
206,CARD#GENERAL,Tobi BOT idea on WhatsApp,0
207,CARD#GENERAL,Tobi bot,0
208,CARD#GENERAL,Tobi chat bot,0
209,CARD#GENERAL,Tobi the Bot,0
210,CARD#GENERAL,Tobi's Tax Pack,0
211,CARD#GENERAL,Toby,0
212,CARD#GENERAL,Toby robot service,0
213,CARD#GENERAL,USELESS VODACOM,0
214,CARD#GENERAL,VODACOM,0
215,CARD#GENERAL,VODACOM - TOBI ALLOWING SIM-SWOP TO CRIMINALS,0
216,CARD#GENERAL,VODACOM USELESS HELPLINE,0
217,CARD#GENERAL,VODACOMS TOBI,0
218,CARD#GENERAL,VodaBucks,0
219,CARD#GENERAL,Vodacom,0
220,CARD#GENERAL,Vodacom Age of Machine,0
221,CARD#GENERAL,Vodacom App,0
222,CARD#GENERAL,Vodacom Customer Care Line,0
223,CARD#GENERAL,Vodacom Horrible Customer Care Service-Deleted Active SImcard,0
224,CARD#GENERAL,Vodacom Roaming Bundle,0
225,CARD#GENERAL,Vodacom Scams Pensioners into Special Deals,0
226,CARD#GENERAL,Vodacom Vodabucks,0
227,CARD#GENERAL,Vodacom and TymeBank Fraud,0
228,CARD#GENERAL,Vodacom customer services,0
